date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:10:57	97940/97940	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:40:57%20GMT	https://daddylive.fun/cricket/cricket-7.php	F:/sports/dady/daddylive.fun/cricket/cricket-7.html	(from https://daddylive.fun/)
15:10:57	97933/97933	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:40:58%20GMT	https://daddylive.fun/cricket/cricket-8.php	F:/sports/dady/daddylive.fun/cricket/cricket-8.html	(from https://daddylive.fun/)
15:10:57	97935/97935	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:40:58%20GMT	https://daddylive.fun/cricket/cricket-9.php	F:/sports/dady/daddylive.fun/cricket/cricket-9.html	(from https://daddylive.fun/)
15:10:58	97938/97938	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:40:59%20GMT	https://daddylive.fun/cricket/cricket-10.php	F:/sports/dady/daddylive.fun/cricket/cricket-10.html	(from https://daddylive.fun/)
15:10:59	54894/54894	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:00%20GMT	https://daddylive.fun/stream/stream-121.php	F:/sports/dady/daddylive.fun/stream/stream-121.html	(from https://daddylive.fun/)
15:10:59	54428/54428	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:00%20GMT	https://daddylive.fun/stream/stream-51.php	F:/sports/dady/daddylive.fun/stream/stream-51.html	(from https://daddylive.fun/)
15:11:00	54869/54869	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:00%20GMT	https://daddylive.fun/stream/stream-52.php	F:/sports/dady/daddylive.fun/stream/stream-52.html	(from https://daddylive.fun/)
15:11:00	54430/54430	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:01%20GMT	https://daddylive.fun/stream/stream-53.php	F:/sports/dady/daddylive.fun/stream/stream-53.html	(from https://daddylive.fun/)
15:11:00	54894/54894	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:01%20GMT	https://daddylive.fun/stream/stream-131.php	F:/sports/dady/daddylive.fun/stream/stream-131.html	(from https://daddylive.fun/)
15:11:00	54453/54453	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:01%20GMT	https://daddylive.fun/stream/stream-133.php	F:/sports/dady/daddylive.fun/stream/stream-133.html	(from https://daddylive.fun/)
15:11:01	54894/54894	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:02%20GMT	https://daddylive.fun/stream/stream-132.php	F:/sports/dady/daddylive.fun/stream/stream-132.html	(from https://daddylive.fun/)
15:11:01	54456/54456	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:02%20GMT	https://daddylive.fun/stream/stream-394.php	F:/sports/dady/daddylive.fun/stream/stream-394.html	(from https://daddylive.fun/)
15:11:01	54894/54894	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:02%20GMT	https://daddylive.fun/stream/stream-343.php	F:/sports/dady/daddylive.fun/stream/stream-343.html	(from https://daddylive.fun/)
15:11:01	54453/54453	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:02%20GMT	https://daddylive.fun/stream/stream-344.php	F:/sports/dady/daddylive.fun/stream/stream-344.html	(from https://daddylive.fun/)
15:11:02	54894/54894	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:03%20GMT	https://daddylive.fun/stream/stream-302.php	F:/sports/dady/daddylive.fun/stream/stream-302.html	(from https://daddylive.fun/)
15:11:02	54453/54453	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:03%20GMT	https://daddylive.fun/stream/stream-313.php	F:/sports/dady/daddylive.fun/stream/stream-313.html	(from https://daddylive.fun/)
15:11:02	54883/54883	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:03%20GMT	https://daddylive.fun/stream/stream-31.php	F:/sports/dady/daddylive.fun/stream/stream-31.html	(from https://daddylive.fun/)
15:11:03	54422/54422	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:04%20GMT	https://daddylive.fun/stream/stream-67.php	F:/sports/dady/daddylive.fun/stream/stream-67.html	(from https://daddylive.fun/)
15:11:03	54973/54973	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:04%20GMT	https://daddylive.fun/stream/stream-1.php	F:/sports/dady/daddylive.fun/stream/stream-1.html	(from https://daddylive.fun/)
15:11:04	66748/66748	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:04%20GMT	https://daddylive.fun/stream/stream-414.php	F:/sports/dady/daddylive.fun/stream/stream-414.html	(from https://daddylive.fun/)
15:11:04	54894/54894	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:05%20GMT	https://daddylive.fun/stream/stream-136.php	F:/sports/dady/daddylive.fun/stream/stream-136.html	(from https://daddylive.fun/)
15:11:04	54453/54453	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:05%20GMT	https://daddylive.fun/stream/stream-140.php	F:/sports/dady/daddylive.fun/stream/stream-140.html	(from https://daddylive.fun/)
15:11:04	54895/54895	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:05%20GMT	https://daddylive.fun/stream/stream-134.php	F:/sports/dady/daddylive.fun/stream/stream-134.html	(from https://daddylive.fun/)
15:11:05	54453/54453	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:06%20GMT	https://daddylive.fun/stream/stream-146.php	F:/sports/dady/daddylive.fun/stream/stream-146.html	(from https://daddylive.fun/)
15:11:05	54875/54875	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:06%20GMT	https://daddylive.fun/stream/stream-5.php	F:/sports/dady/daddylive.fun/stream/stream-5.html	(from https://daddylive.fun/)
15:11:06	54453/54453	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:07%20GMT	https://daddylive.fun/stream/stream-144.php	F:/sports/dady/daddylive.fun/stream/stream-144.html	(from https://daddylive.fun/)
15:11:07	54435/54435	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:07%20GMT	https://daddylive.fun/stream/stream-7.php	F:/sports/dady/daddylive.fun/stream/stream-7.html	(from https://daddylive.fun/)
15:11:07	54439/54439	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:08%20GMT	https://daddylive.fun/stream/stream-13.php	F:/sports/dady/daddylive.fun/stream/stream-13.html	(from https://daddylive.fun/)
15:11:08	54439/54439	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:09%20GMT	https://daddylive.fun/stream/stream-14.php	F:/sports/dady/daddylive.fun/stream/stream-14.html	(from https://daddylive.fun/)
15:11:08	54439/54439	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:09%20GMT	https://daddylive.fun/stream/stream-15.php	F:/sports/dady/daddylive.fun/stream/stream-15.html	(from https://daddylive.fun/)
15:11:09	66748/66748	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:10%20GMT	https://daddylive.fun/stream/stream-433.php	F:/sports/dady/daddylive.fun/stream/stream-433.html	(from https://daddylive.fun/)
15:11:10	54435/54435	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:11%20GMT	https://daddylive.fun/stream/stream-2.php	F:/sports/dady/daddylive.fun/stream/stream-2.html	(from https://daddylive.fun/)
15:11:10	54439/54439	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:11%20GMT	https://daddylive.fun/stream/stream-28.php	F:/sports/dady/daddylive.fun/stream/stream-28.html	(from https://daddylive.fun/)
15:11:11	66748/66748	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:12%20GMT	https://daddylive.fun/stream/stream-429.php	F:/sports/dady/daddylive.fun/stream/stream-429.html	(from https://daddylive.fun/)
15:11:11	54881/54881	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:12%20GMT	https://daddylive.fun/stream/stream-18.php	F:/sports/dady/daddylive.fun/stream/stream-18.html	(from https://daddylive.fun/)
15:11:12	66748/66748	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:13%20GMT	https://daddylive.fun/stream/stream-400.php	F:/sports/dady/daddylive.fun/stream/stream-400.html	(from https://daddylive.fun/)
15:11:12	54879/54879	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:13%20GMT	https://daddylive.fun/stream/stream-94.php	F:/sports/dady/daddylive.fun/stream/stream-94.html	(from https://daddylive.fun/)
15:11:13	54439/54439	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:13%20GMT	https://daddylive.fun/stream/stream-93.php	F:/sports/dady/daddylive.fun/stream/stream-93.html	(from https://daddylive.fun/)
15:11:13	54879/54879	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:14%20GMT	https://daddylive.fun/stream/stream-20.php	F:/sports/dady/daddylive.fun/stream/stream-20.html	(from https://daddylive.fun/)
15:11:13	54435/54435	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:14%20GMT	https://daddylive.fun/stream/stream-6.php	F:/sports/dady/daddylive.fun/stream/stream-6.html	(from https://daddylive.fun/)
15:11:13	54863/54863	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:14%20GMT	https://daddylive.fun/stream/stream-62.php	F:/sports/dady/daddylive.fun/stream/stream-62.html	(from https://daddylive.fun/)
15:11:14	66748/66748	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:15%20GMT	https://daddylive.fun/stream/stream-425.php	F:/sports/dady/daddylive.fun/stream/stream-425.html	(from https://daddylive.fun/)
15:11:15	54894/54894	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:16%20GMT	https://daddylive.fun/stream/stream-372.php	F:/sports/dady/daddylive.fun/stream/stream-372.html	(from https://daddylive.fun/)
15:11:15	54871/54871	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:16%20GMT	https://daddylive.fun/stream/stream-63.php	F:/sports/dady/daddylive.fun/stream/stream-63.html	(from https://daddylive.fun/)
15:11:15	54895/54895	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:16%20GMT	https://daddylive.fun/stream/stream-48.php	F:/sports/dady/daddylive.fun/stream/stream-48.html	(from https://daddylive.fun/)
15:11:16	67189/67189	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2009:41:17%20GMT	https://daddylive.fun/stream/stream-431.php	F:/sports/dady/daddylive.fun/stream/stream-431.html	(from https://daddylive.fun/)
